time,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
2000-01-01,55743.0,2512.8,13716.0,36570.9,463895.0,1250.8,22768.4,29258.0,136800.0,326889.0,4438.6,260695.9,2310.5,1649.7,2350.3,5054.6,9789.1,877.8,98577.0,44938.2,36746.2,26837.6,7060.1,4498.7,4573.5,27779.0,59462.0,393996.0
2000-04-01,58132.0,2854.1,14986.2,38074.5,470274.0,1417.2,24204.3,30903.1,147107.0,331072.0,4793.5,276326.8,2522.2,1936.3,2781.8,5081.5,10769.5,987.5,101161.0,47483.2,38829.2,28046.0,8558.7,4852.4,5089.7,29617.0,65192.1,394350.8
2000-07-01,56159.0,3565.1,15708.0,37802.9,484390.0,1362.6,23958.0,33495.2,144169.0,324800.0,5291.8,269043.7,2495.8,1999.7,2915.4,5083.4,11296.7,1033.8,100158.0,48088.2,41391.1,28061.6,10107.3,4825.5,5172.3,29721.0,60344.0,400530.7
2000-10-01,60455.0,3627.8,16492.9,40910.3,490678.0,1482.4,25422.7,34003.2,158245.0,343581.0,4942.3,304131.9,2517.1,2138.3,3109.6,5399.9,11929.4,1019.9,105936.0,50115.1,48681.5,29622.8,10594.3,4962.6,5115.3,32083.0,64543.8,414262.4
2001-01-01,58164.0,2847.8,15196.1,37975.2,478003.0,1411.3,26761.8,30988.0,148318.0,342582.0,4878.4,279329.1,2434.3,1808.0,2661.0,5198.9,11157.0,908.8,105870.0,47359.2,42441.4,28128.4,7726.9,4779.8,4845.9,30378.0,58894.8,397875.4
2001-04-01,60548.0,3190.5,17044.7,39418.4,483570.0,1601.0,27508.2,32883.2,161166.0,346230.0,5465.1,293271.0,2643.8,2178.7,3164.1,5219.7,13073.9,1031.7,108454.0,49155.4,48329.3,30030.9,9819.3,5174.4,5567.2,32026.0,61785.2,407251.3
2001-07-01,57976.0,3921.5,17664.1,39556.4,499141.0,1550.3,26388.6,35666.7,156370.0,338474.0,5732.0,282078.4,2734.2,2128.1,3172.1,5153.0,13455.6,1092.6,105307.0,49402.2,45458.1,29595.3,11289.8,5151.5,5653.8,31558.0,55409.8,409131.4
2001-10-01,61911.0,3928.6,18962.5,41549.7,509216.0,1664.6,27767.2,35932.4,170970.0,356729.0,5365.1,317036.6,2699.9,2314.5,3198.4,5771.5,14383.4,994.7,110777.0,51159.8,52898.1,31390.2,11841.1,5287.6,5562.9,33149.0,60723.6,418624.6
2002-01-01,59844.0,3238.1,17731.3,38946.8,481395.0,1553.5,28898.9,33039.6,158891.0,353406.0,5439.4,286634.6,2568.3,2071.6,2940.3,5547.9,14151.0,996.0,109623.0,48404.8,46436.9,30054.8,8711.7,5127.1,5454.4,30718.0,59648.8,427352.7
2002-04-01,62404.0,3605.9,20365.4,41033.6,492345.0,1773.6,30821.3,35770.3,172881.0,358607.0,5827.8,303359.4,2732.4,2376.6,3409.4,5754.3,15485.6,1062.1,113025.0,50317.6,46420.4,31535.4,10362.2,5548.8,5905.6,33044.0,64108.1,415553.8
2002-07-01,59937.0,4346.7,20751.2,40585.5,511184.0,1739.8,29578.5,37932.4,166833.0,350994.0,6372.3,295141.9,2761.4,2299.6,3564.7,5460.9,15627.8,1097.2,110721.0,50998.6,43338.3,31061.5,11750.4,5542.9,6081.7,32142.0,59036.1,420644.4
2002-10-01,64405.0,4239.9,20794.0,42493.6,513420.0,1847.9,30982.2,39055.1,183775.0,367212.0,5901.9,329137.5,2827.6,2402.6,3586.3,5775.2,17192.8,1036.8,115025.0,52632.3,49424.0,32141.4,12824.2,5664.1,6367.4,34117.0,64930.7,429996.4
2003-01-01,61619.0,3342.8,18733.8,40300.1,483757.0,1773.6,30933.1,36265.1,169852.0,365507.0,5908.9,295763.7,2709.7,2119.6,3324.1,5598.6,14828.4,998.0,113182.0,49611.0,40992.9,30737.5,8885.9,5354.5,6136.6,31284.0,62662.4,417871.6
2003-04-01,64029.0,3752.0,20487.7,41134.7,490884.0,1980.2,32596.5,39201.1,184555.0,364333.0,6386.0,312822.4,2813.8,2348.6,3708.3,5842.1,16097.6,1071.5,115922.0,51488.8,41914.3,32061.0,10638.8,5843.6,6773.5,33158.0,65559.6,393108.1
2003-07-01,61714.0,4585.5,20409.3,41098.5,514966.0,1944.4,31167.7,42089.3,178662.0,360204.0,6966.9,307131.8,2917.4,2441.7,3894.5,5646.2,16061.2,1129.9,111734.0,52281.1,41341.2,31747.4,13169.7,5902.8,6955.3,32905.0,62397.3,404103.8
2003-10-01,66451.0,4567.4,21010.8,43779.8,515457.0,2074.8,33904.5,42957.8,194616.0,379190.0,6247.5,342127.7,2978.2,2477.5,4010.5,6369.1,17810.6,1054.4,117778.0,53866.8,44990.1,33273.1,14157.2,5924.9,7125.4,34896.0,68516.2,414878.2
2004-01-01,64391.0,3726.9,19195.5,41421.7,497614.0,1986.9,33668.4,40477.3,181264.0,381608.0,6418.2,306590.4,2871.6,2288.9,3527.9,5963.6,15318.8,981.1,116192.0,51577.4,39141.2,32010.7,9712.7,5603.2,6987.6,32634.0,64949.1,431261.9
2004-04-01,67492.0,4184.5,21300.1,43356.1,510139.0,2150.7,34919.3,43026.2,196721.0,383560.0,7063.1,329166.2,3024.2,2646.1,4092.7,6186.0,18235.8,1078.6,119239.0,53853.4,43558.0,33566.6,12246.4,6192.1,7629.5,34730.0,69382.7,433620.2
2004-07-01,65068.0,5055.7,22211.7,43092.6,523467.0,2196.8,32974.2,45974.9,190191.0,373998.0,7658.6,316998.4,3150.0,2741.4,4293.2,6078.1,18664.5,1124.8,115511.0,54588.8,45467.6,32987.6,15219.9,6263.2,8079.8,34251.0,65595.4,440383.2
2004-10-01,70092.0,4920.8,24308.8,45699.7,526406.0,2261.4,35401.9,45294.6,208017.0,393522.0,6846.0,354978.7,3217.9,2801.0,4585.6,6613.2,19633.7,1075.2,121636.0,56078.7,55046.4,34704.9,17755.1,6278.6,8387.8,37137.0,71952.4,434921.7
2005-01-01,67251.0,4165.8,22477.7,42528.3,499784.0,2255.2,36540.3,41190.8,194377.0,394025.0,6917.1,314395.1,3090.9,2563.7,4008.8,6252.2,17703.6,1010.4,120070.0,53250.8,51088.9,33101.1,12719.4,5850.8,7997.4,34191.0,67066.1,443392.6
2005-04-01,70391.0,4763.5,24484.0,45782.5,519033.0,2475.7,37758.7,44579.9,210567.0,398904.0,7747.1,337138.5,3236.5,2946.3,4640.1,6570.2,19328.7,1127.4,124271.0,56452.6,51614.0,34580.3,16112.8,6625.0,8575.3,36008.0,71378.8,454508.1
2005-07-01,67666.0,5658.0,25081.2,45225.4,532009.0,2562.4,36261.7,46425.8,206228.0,385609.0,8260.2,325820.4,3356.9,3223.3,5008.9,6586.5,20057.4,1187.2,119978.0,56962.1,53137.7,34078.9,20018.9,6611.5,9118.1,35609.0,66201.2,457318.9
2005-10-01,73187.0,5691.4,27095.1,47309.4,531260.0,2679.5,38423.4,46623.9,223075.0,407546.0,7624.1,366268.5,3457.2,3466.3,5351.8,7259.3,21222.5,1140.7,127075.0,59222.7,60767.9,35839.1,22191.5,6602.5,9231.5,37813.0,71352.5,474451.4
2006-01-01,70440.0,4602.5,25382.5,45336.6,521539.0,2676.3,39840.6,44099.1,209395.0,407490.0,7754.0,326125.3,3351.7,3207.8,4589.5,7347.3,18399.8,1068.1,127497.0,56314.3,57072.6,34094.6,15991.5,6262.7,9160.0,35680.0,69991.8,481043.4
2006-04-01,73619.0,5286.4,27828.7,48743.6,532590.0,2945.6,41193.0,48317.2,228454.0,414722.0,8484.7,348818.4,3538.0,3690.3,5240.9,7522.0,19421.8,1174.6,131418.0,59313.7,57089.1,36190.9,19783.9,7048.2,9971.8,37483.0,75033.5,467459.1
2006-07-01,70917.0,6497.5,28672.9,48094.2,553118.0,3041.6,39803.8,49494.4,223586.0,404093.0,9068.8,336958.4,3583.3,4013.0,5771.0,7358.2,19595.3,1241.6,126905.0,60251.9,57984.9,35544.8,23729.9,7199.9,10498.7,37273.0,71708.5,488173.9
2006-10-01,76850.0,6550.3,30772.5,49359.7,557725.0,3225.4,41240.5,51136.4,238657.0,428159.0,8282.3,375272.4,3691.8,4361.6,6132.3,8111.4,22290.0,1197.2,134766.0,63196.1,68642.6,37749.1,27596.2,7228.5,11455.7,40039.0,78888.7,501494.5
2007-01-01,74741.0,5645.1,28641.2,47187.8,548321.0,3252.5,43442.4,46461.9,225910.0,429475.0,8524.8,343369.4,3597.1,4306.9,5407.4,7957.5,19600.0,1178.4,134904.0,60274.9,62440.6,36292.2,20944.9,6987.4,11374.8,38378.0,76175.3,520448.2
2007-04-01,77920.0,6414.0,30493.1,49157.3,556832.0,3588.8,43797.8,52378.2,246363.0,436788.0,9265.2,361716.1,3767.5,4984.2,6431.5,8382.5,21885.5,1258.0,139323.0,62848.6,65502.6,38487.3,26172.3,7833.4,12498.7,40741.0,80227.5,494767.2
2007-07-01,74711.0,7668.5,31518.5,49474.0,578087.0,3651.9,42886.7,53127.3,239934.0,427376.0,9986.7,350574.4,3829.6,5342.7,7020.2,8117.5,22387.7,1327.5,135578.0,63786.2,66327.1,37557.8,31718.4,8031.5,13400.2,40692.0,75504.8,511408.7
2007-10-01,80588.0,7807.9,34673.2,52150.3,578120.0,3765.3,44463.0,53299.6,260648.0,448875.0,9205.5,390104.8,3988.5,5517.4,7217.4,8818.0,23982.0,1255.4,142700.0,66695.0,80226.4,39846.0,34871.0,7956.4,13434.3,43843.0,82840.4,502461.1
2008-01-01,77534.0,6405.7,33057.2,49470.7,566116.0,3500.8,42614.3,49130.7,241107.0,447223.0,9341.1,354030.7,3910.8,5130.8,6439.2,8496.7,20874.5,1260.5,142943.0,64094.0,74269.5,37656.5,24071.5,7687.2,13499.3,40793.0,77264.8,483468.5
2008-04-01,81146.0,7451.1,37029.8,52081.1,580571.0,3858.3,42951.1,54377.0,265187.0,453332.0,10257.3,375437.9,4116.2,5620.1,7645.5,8631.9,23455.9,1371.0,146235.0,65552.1,79971.0,39597.8,30828.3,8611.5,15019.8,43066.0,82942.6,442505.6
2008-07-01,77250.0,8753.8,39051.7,52528.7,587993.0,3714.6,41567.7,55871.1,253053.0,439140.0,11008.6,359089.3,4173.5,5687.2,7899.6,8436.1,24394.7,1420.4,141864.0,65564.0,82769.0,38685.6,37129.6,8647.3,16069.8,42578.0,77309.1,448790.0
2008-10-01,81079.0,8677.7,37240.6,53197.5,569985.0,3645.4,40040.7,54440.1,266298.0,453111.0,10046.2,384486.9,4216.0,5476.5,7364.9,8638.2,23938.6,1332.5,147345.0,67204.7,82842.8,40076.5,39319.5,8283.7,15364.0,43949.0,74438.7,424295.9
2009-01-01,76268.0,7033.9,30669.2,48658.0,534326.0,3055.7,38714.8,48069.1,236324.0,438609.0,8970.5,339450.5,3956.2,4228.2,5777.6,8123.5,17559.9,1267.3,140187.0,61482.5,64733.9,37114.4,21318.9,7483.2,13483.3,38425.0,64120.6,391374.1
2009-04-01,78262.0,8021.8,33276.7,49223.5,539641.0,3156.0,39136.0,53903.8,258263.0,437264.0,9879.1,354478.6,4121.7,4303.7,6331.1,8084.6,19427.4,1341.1,141220.0,62857.7,65631.9,39311.9,26510.0,8095.8,14447.7,39546.0,68854.3,390441.8
2009-07-01,75963.0,8684.3,34798.6,49934.3,564824.0,3019.0,37366.5,55084.6,248659.0,425993.0,10179.3,349003.7,4116.5,4147.7,6166.4,8015.6,20491.2,1410.8,136455.0,64554.9,70381.4,38664.7,31083.5,8096.3,15251.1,39061.0,67038.8,400425.6
2009-10-01,82103.0,8655.8,35841.6,51606.6,568445.0,3050.3,36959.5,55333.4,262847.0,448275.0,9479.2,378718.5,4225.1,4180.5,6025.3,8911.4,22822.5,1337.7,143323.0,67775.9,81737.5,40414.9,34931.6,7962.9,14850.8,41316.0,72325.2,389207.9
2010-01-01,78554.0,6841.8,32142.5,49714.6,558614.0,2916.6,37965.8,48230.0,233797.0,443292.0,8885.1,338437.3,4069.8,3550.1,5648.8,8462.7,18890.3,1367.4,139340.0,61810.4,74029.1,38050.0,22370.3,7357.0,14102.0,38490.0,73179.5,404689.0
2010-04-01,82308.0,8004.7,35425.9,52665.4,570192.0,3231.6,37922.6,51166.1,252675.0,451043.0,9656.4,362138.5,4233.9,3882.5,6385.8,9034.3,20525.5,1460.8,145926.0,64840.2,76278.5,40178.7,26584.9,8158.3,15278.6,41080.0,82101.8,412342.9
2010-07-01,79764.0,8998.9,36410.1,52948.8,594584.0,3282.7,38097.5,50423.8,241196.0,441585.0,10318.8,355416.5,4305.8,4076.0,6657.9,8884.3,20759.2,1537.7,141134.0,67114.3,77650.7,39532.6,29937.5,8114.8,16294.6,40222.0,80549.2,427710.2
2010-10-01,85908.0,9400.6,37817.1,54511.2,598305.0,3443.4,38138.9,49823.9,262215.0,461870.0,9488.2,387254.3,4389.9,4304.3,6517.2,9755.9,23486.7,1424.8,147880.0,69868.6,90413.1,40564.6,32809.7,7952.5,15693.1,43828.0,89474.9,421946.8
2011-01-01,82717.0,7807.2,34756.3,51957.3,593769.0,3367.3,38227.4,43074.1,233703.0,460354.0,8821.8,348805.2,4226.3,3926.9,6241.1,9498.1,19508.8,1441.0,143953.0,66225.3,80872.8,37621.1,22927.2,7506.6,14701.6,40578.0,87998.9,437406.6
2011-04-01,85750.0,9083.3,37675.4,53914.0,598278.0,3706.9,39462.4,46883.4,251452.0,464975.0,9745.8,372370.3,4441.3,4426.4,7139.1,9628.4,22215.8,1490.4,149199.0,68784.1,83439.3,39336.7,27414.3,8349.1,15954.3,42818.0,91938.3,407457.5
2011-07-01,82657.0,9831.4,37782.4,53005.1,620147.0,3700.6,38671.4,47160.0,240030.0,452275.0,10244.5,362867.8,4392.6,4658.3,7557.8,9461.7,22077.4,1556.7,143366.0,69595.1,81205.0,38423.8,32133.1,8297.8,17036.1,42340.0,86459.4,413211.0
2011-10-01,88520.0,9388.5,37796.1,55032.1,615884.0,3841.5,38701.6,44791.7,258485.0,470978.0,9460.2,386290.8,4461.7,4939.0,7222.1,10150.9,22247.6,1465.6,149435.0,71799.5,88274.9,38861.2,33350.9,7952.0,16289.7,44718.0,91059.9,434549.2
2012-01-01,84693.0,7409.7,34544.5,52705.3,611745.0,3626.2,39718.6,39697.6,228907.0,468386.0,8492.2,347792.9,4271.3,4298.3,6715.0,9601.0,18351.4,1471.1,145430.0,68457.8,80054.2,36506.6,22950.9,7515.6,15407.1,41734.0,89220.4,452886.8
2012-04-01,87603.0,8934.0,36406.7,55763.6,610451.0,3993.4,40061.0,42898.2,244227.0,470336.0,9315.5,364340.9,4376.7,4839.5,7476.8,9814.1,20335.0,1581.3,150741.0,69869.7,82745.7,36730.6,27522.6,8106.1,16543.1,43315.0,94722.5,456260.6
2012-07-01,84214.0,9950.5,36506.1,55314.9,631172.0,3945.0,39337.8,43957.8,233371.0,459580.0,10058.0,356100.0,4375.1,5105.1,8206.9,9511.1,21978.0,1655.9,143449.0,71242.4,85503.7,37093.0,31711.1,7953.6,17630.2,42527.0,93365.2,479273.1
2012-10-01,90189.0,10002.3,37604.4,56008.6,625228.0,4111.4,39418.3,42425.4,247481.0,477023.0,9194.1,379787.2,4265.2,5275.7,7766.4,10460.1,23105.8,1573.1,150696.0,73978.3,96939.7,37031.4,34508.6,7723.8,16829.8,44841.0,96987.6,480634.1
2013-01-01,85318.0,7545.7,33575.2,53857.5,614944.0,3891.2,39910.0,37209.1,221687.0,472611.0,8477.9,341801.3,3995.7,4438.8,7026.6,9826.2,19090.7,1588.3,145216.0,68995.5,82833.8,36125.8,24075.9,7244.1,15712.9,41440.0,94630.6,462392.6
2013-04-01,88576.0,8759.3,35600.7,56396.6,628517.0,4196.8,41365.8,41012.2,237690.0,477343.0,9269.6,361012.3,4074.3,4983.8,7828.8,10346.3,21277.8,1698.3,151700.0,70953.6,84647.3,37478.2,29199.9,8076.8,16844.8,44167.0,99623.4,452599.5
2013-07-01,85309.0,9639.9,35896.3,56199.8,651079.0,4190.3,41843.1,42441.6,229767.0,465963.0,9891.5,359233.3,4091.0,5274.5,8718.0,10270.6,22195.7,1763.0,145929.0,72793.6,84424.8,37899.1,35136.7,8062.6,17784.5,43692.0,93195.9,457797.9
2013-10-01,91674.0,10086.7,36100.0,57396.3,648116.0,4312.7,41890.5,39573.8,246472.0,483923.0,8970.3,382059.2,3972.9,5411.6,8116.7,11084.2,23395.5,1670.4,152864.0,75881.5,98606.9,38265.3,38312.2,7910.8,17179.7,45703.0,98359.7,479947.4
2014-01-01,87065.0,7458.5,32788.8,55657.1,646661.0,4096.2,43019.2,36308.3,222196.0,479891.0,8365.3,348757.8,3741.0,4667.0,7426.8,10613.2,19779.4,1755.4,147476.0,70996.8,85038.0,36337.7,25039.9,7582.9,15940.4,42145.0,94008.6,495493.3
2014-04-01,90340.0,8890.0,35572.0,57555.5,650711.0,4432.2,45375.1,39903.2,239458.0,481026.0,9212.1,363952.7,3915.6,5136.3,8237.0,10655.2,22284.3,1876.7,152640.0,73131.6,88603.5,38541.9,31183.4,8394.5,17175.1,44500.0,98571.0,499774.2
2014-07-01,87047.0,10298.5,36111.6,57556.2,674761.0,4387.1,45782.8,42217.9,232348.0,474028.0,9746.6,360939.7,3936.4,5426.9,8982.6,10935.1,22855.2,1942.4,148296.0,74833.6,89843.4,38570.1,36994.1,8397.5,18247.9,44167.0,91957.9,516306.8
2014-10-01,93613.0,10540.8,37102.3,59819.4,674311.0,4581.2,45173.5,39483.7,250468.0,492285.0,8956.8,384209.3,3852.4,5565.0,8421.2,12192.5,24119.9,1896.0,156402.0,78268.2,101065.3,37915.4,40089.5,8128.3,17544.0,46175.0,99184.1,530656.1
2015-01-01,88895.0,7961.1,34667.6,57847.0,667088.0,4182.6,62483.6,36187.4,229922.0,492634.0,8379.5,351817.7,3709.0,4748.8,7444.9,11399.1,20669.9,1992.0,149195.0,72825.0,88810.6,37665.6,26923.2,7814.6,16515.2,42919.0,94274.4,565638.5
2015-04-01,93155.0,9715.1,37965.0,59780.0,677320.0,4525.7,58826.8,39794.8,247720.0,490588.0,9400.9,369754.5,3944.0,5332.8,8353.6,11460.7,23283.4,2155.2,158018.0,75567.3,94027.8,39915.3,32074.4,8583.9,17710.6,45583.0,102287.3,581644.8
2015-07-01,89740.0,10602.3,38999.6,58864.6,699333.0,4524.0,61707.9,41353.3,242188.0,482356.0,10043.6,368725.9,3971.9,5635.6,9199.3,11197.8,23688.9,2244.7,153885.0,77734.6,92579.2,39754.0,39635.0,8624.4,18864.3,45022.0,95938.8,585840.9
2015-10-01,96316.0,10861.6,40010.5,60429.5,701596.0,4682.4,62564.3,39277.9,261162.0,501888.0,9213.4,394953.2,3961.1,5644.4,8718.7,12587.0,25500.7,2143.7,159737.0,80900.0,106188.9,39504.0,42299.6,8581.9,18356.1,47294.0,105490.0,598199.5
2016-01-01,91436.0,8576.3,37054.2,58329.1,691510.0,4334.1,62643.3,35304.3,238724.0,501213.0,8707.4,362505.0,3805.5,4847.4,7744.2,11670.5,21133.9,2171.6,152819.0,76172.8,88452.6,38894.7,29083.6,8107.1,16864.7,43878.0,98681.5,564000.4
2016-04-01,96083.0,9948.3,40244.2,62043.3,713351.0,4697.4,61042.9,38942.7,257687.0,498652.0,9718.7,380988.9,4074.0,5429.3,8623.5,12032.8,23876.6,2293.9,161734.0,78252.1,90575.6,41103.0,35483.4,8917.1,18348.4,47037.0,107495.7,552342.5
2016-07-01,92483.0,11397.6,40096.3,60808.3,721894.0,4712.7,61992.2,41211.7,250809.0,485376.0,10549.7,375259.0,4152.1,5665.8,9382.1,11845.6,24747.0,2385.9,156695.0,79681.2,91929.8,41222.5,41885.5,8959.8,19314.0,46409.0,98329.3,514284.5
2016-10-01,99272.0,11604.3,41138.2,63519.0,720985.0,4958.1,69536.6,38585.6,267619.0,506036.0,9710.3,398777.6,4168.0,5889.9,9208.1,12734.7,26605.6,2306.2,163576.0,83486.9,105767.0,41006.0,46393.4,8963.0,18909.2,48664.0,104891.2,517767.1
2017-01-01,94932.0,9191.1,38666.6,62435.1,721193.0,4721.6,65019.4,35954.2,247749.0,507849.0,9195.8,371296.1,4010.3,5184.1,8368.6,12151.3,22921.6,2355.0,158455.0,79486.4,93972.6,40550.2,32484.8,8585.4,17471.1,46184.0,102170.1,526260.0
2017-04-01,99221.0,10899.2,42811.2,64174.0,729754.0,5169.7,64244.8,39699.9,268208.0,509649.0,10173.5,387320.3,4295.8,5870.5,9326.9,12350.8,25843.3,2521.6,168171.0,81269.0,99232.4,42852.3,39032.4,9511.4,19059.3,48626.0,107287.3,525102.2
2017-07-01,95136.0,12268.2,44308.1,62998.6,753377.0,5168.1,71681.2,42494.7,260107.0,501703.0,11045.9,382195.2,4356.2,6210.6,10187.9,12069.7,27224.3,2609.0,163220.0,82735.2,100748.4,42569.9,46773.6,9553.3,20127.8,47899.0,101853.1,504850.8
2017-10-01,102588.0,12448.9,46493.7,64863.4,750372.0,5419.0,75001.3,39377.5,281403.0,522890.0,9993.6,405881.9,4333.5,6361.1,10033.2,13582.7,28967.6,2501.6,170547.0,86450.6,116544.6,42705.0,51211.0,9716.3,19772.2,50559.0,108749.1,527229.5
2018-01-01,97313.0,9734.7,43675.1,61829.4,745603.0,5057.4,72316.6,36472.2,256416.0,522968.0,9555.0,377632.9,4169.8,5548.3,8918.2,12910.9,24864.7,2537.1,166883.0,83812.3,103252.5,41727.6,34662.1,9202.8,18418.7,47950.0,102472.8,530894.2
2018-04-01,101527.0,11541.4,46687.2,64569.6,760705.0,5598.9,71476.1,40651.7,275902.0,520274.0,10667.3,398437.2,4489.3,6394.3,9935.4,13146.5,27591.6,2721.5,176240.0,84835.6,104038.8,44099.3,42014.2,10217.4,20301.2,50812.0,105533.3,531690.6
2018-07-01,97585.0,13353.0,47026.4,64105.5,775183.0,5677.2,75857.5,43518.8,269045.0,513542.0,11538.1,387434.7,4591.1,6748.8,10823.3,12976.5,28143.1,2827.3,170921.0,86126.6,106225.2,43876.8,51406.7,10287.1,21520.0,50181.0,97355.4,525192.5
